ID_occurrence	src.lang	fr1	KWIC.fr	fr2	lemma.fr	meaning.fr	es	form.fr	form.cs	form.en	form.es	form.it	form.pl	form.ru	dimension1	dimension2
3	de	– Je ne suis pas impatient , dit K. un peu piqué et	surveillant	moins ses paroles .	surveiller	manner	–No soy impaciente –dijo K algo irritado , y ya no cuidó tanto sus palabras– .	part	VF.coord	VF.coord	VF.coord	VF.coord	VF.coord	VF.coord	0.4017142004490129	-0.3113761645877561
5	cs	Habitué aux travaux de Cenek depuis l' ère de l' ancien commandant , le commissaire , parfaitement indifférent au nouveau tableau , entama à haute voix la lecture d' une brochure	éclairant	les différences entre une armée socialiste et une armée capitaliste .	éclairer	attributive	El comisario ya estaba acostumbrado a los cuadros que Cenek hacía por encargo del anterior comandante y no le prestó ninguna atención al cuadro nuevo , sino que se puso a leer en voz alta una especie de folleto en el que se explicaban las diferencias entre el ejército socialista y el capitalista .	part	VF.sub.rel	ing.part	VF.sub.rel	VF.sub.rel	VF.sub.rel	VF.sub.rel	0.3266205221513524	0.38846264780032846
6	fr	"" Pour demain lundi ? "" demanda Mr . Fogg en	regardant	la jeune femme .	regarder	concom	- ¿ Para mañana , lunes ? -dijo Fogg , mirando a la joven Aouda .	ger	Cvb.ps.impf	ing.part	ger	ger	Cvb.ps.impf	Cvb.ps.impf	-0.40179850486859003	0.023179270382311438
7	cs	« Plus fort , plus fort , encore , encore ! » et à cet instant il s' apercevait qu' il n' en pouvait plus ; il lui avait fait l' amour trop longtemps et sur un rythme trop rapide pour pouvoir frapper à coups redoublés ;	glissant	alors sur le côté , il recourait à un expédient qui lui semblait à la fois un aveu d' échec et une virtuosité technique digne d' un brevet : enfonçant profondément la main dans son ventre , il effectuait avec les doigts de puissants mouvements de bas en haut ; un geyser jaillissait , c' était une inondation , elle l' embrassait et le couvrait de mots doux .	glisser	anter	«¡ Más fuerte , más fuerte , más , más ! » y él entonces comprobaba siempre que ya no podía más , que hacía ya demasiado tiempo que estaba haciendo el amor para poder aumentar la fuerza de sus golpes ; por eso se salía de ella y recurría a un medio que consideraba tanto una rendición como un virtuosismo técnico digno de ser patentado : introducía la mano dentro de ella y movía con fuerza los dedos hacia abajo y hacia arriba ; saltaba un géiser , todo quedaba mojado y ella lo abrazaba y lo cubría de palabras tiernas .	part	VF.coord	VF.coord	VF.coord	VF.coord	VF.coord	VF.coord	0.45416068209123656	-0.3120339809615976
10	ru	- Messire , je suis consterné! vociféra le chat en	donnant	à sa gueule un air de consternation .	donner	concom	-¡ Messere , qué horror ! -aulló el gato poniendo cara de susto- , el rey no está en la casa .	ger	VF.coord	ing.part	ger	ger	VF.coord	Cvb.ps.impf	-0.1910712315606358	-0.20498382416253014
11	fr	Passepartout , éclairé par cette révélation ,	devant	craindre d' être compromis , se rangerait sans doute à lui , Fix .	devoir	cause	Picaporte , con esta revelación , debería creerse comprometido , y entonces se pondría de parte de Fix .	part	VF.coord	adj	VF.coord	ger	PP	PP	0.195282071488596	-0.023554748184906535
13	cs	Le nègre montra de superbes dents blanches , et Laura	tirant	du panier un bouquet de cinq œillets à demi fanés le tendit à Paul :	tirer	anter	El negro mostró unos hermosos dientes blancos y Laura cogió de su cesto un ramillete de cinco claveles medio mustios ; se lo dio a Paul :	part	VF.coord	VF.coord	VF.coord	part.past	Cvb.pt.pf	VF.coord	0.38292086254817204	-0.17180131098709311
14	cs	Oui , tel est bien le mot que vous prononcez le plus souvent ,	écoutant	cette affaire ou d' autres pareilles .	écouter	concom	Sí , ésa es la palabra que con mayor frecuencia pronuncia usted cuando oye hablar de esta historia o de otras historias parecidas .	part	VF.sub.adv	VF.sub.adv	VF.sub.adv	VF.sub.adv	VF.sub.adv	VF.sub.adv	0.11484793040484893	0.20345506471409217
15	cs	Kennedy	riant	devant l' objectif d' un photographe ne réagit nullement à une situation comique , mais ouvre très consciemment la bouche et découvre les dents .	rire	attributive	el Kennedy que ríe frente al objetivo no reacciona ante una situación cómica sino que con plena conciencia abre la boca y deja al descubierto los dientes .	part	VF.sub.rel	ing.part	VF.sub.rel	VF.sub.rel	part	part	0.34656164661799566	0.41023992870280124
17	cs	Métamorphoser sa cellule en une scène et rendre son sort supportable en l'	exposant	, en l' exhibant .	exposer	manner	¡ Convertir la cárcel en un escenario y hacer que su destino fuese soportable no sólo viviéndolo sino también representándolo y actuándolo ! ¡ Viéndose reflejado en la belleza de las propias palabras y los gestos !	ger	VF.sub.adv	ing.ger	ger	ger	VF.sub.adv	VF.coord	-0.31650676183967674	0.07404268727258109
